iter	RMSE
574	3906498.287
575	3902148.119
576	3900730.211
577	3898839.483
578	3894657.748
579	3891917.42
580	3888432.972
581	3884798.561
582	3876360.734
583	3871807.546
584	3869730.74
585	3869015.114
586	3867066.733
587	3863962.262
588	3857225.685
589	3855739.757
590	3852504.896
591	3848559.176
592	3845622.449
593	3842177.779
594	3840377.525
595	3834964.944
596	3832103.109
597	3831260.656
598	3828380.145
599	3824115.818
600	3820231.314
601	3816933.324
602	3812930.05
603	3808746.436
604	3805266.945
605	3803029.574
606	3799666.603
607	3797092.125
608	3793962.832
609	3792887.546
610	3791939.731
611	3790093.742
612	3786576.897
613	3783295.487
614	3777973.393
615	3772850.652
616	3769703.415
617	3767271.218
618	3765973.501
619	3761450.115
620	3760602.385
621	3757057.325
622	3753596.694
623	3746737.247
624	3744814.862
625	3742984.387
626	3739062.189
627	3735119.667
628	3731607.572
629	3729002.951
630	3723933.506
631	3722218.639
632	3721542.759
633	3719781.924
634	3718062.086
635	3716446.675
636	3713768.259
637	3709339.407
638	3706449.975
639	3704699.135
640	3702739.552
641	3696780.952
642	3691910.915
643	3687830.635
644	3681078.863
645	3678207.772
646	3676766.046
647	3675408.965
648	3674210.754
649	3668419.781
650	3664837.858
651	3661409.008
652	3657993.646
653	3656411.886
654	3652387.573
655	3650791.685
656	3647743.615
657	3643964.263
658	3641822.617
659	3641022.057
660	3638230.834
661	3632146.63
662	3629722.554
663	3626104.6
664	3622730.549
665	3620966.434
666	3619405.246
667	3617827.231
668	3614344.325
669	3609594.89
670	3606650.739
671	3602224.313
672	3593280.127
673	3591568.809
674	3587510.195
675	3585296.809
676	3583099.576
677	3580803.959
678	3577190.721
679	3574488.41
680	3573239.813
681	3570941.656
682	3568190.151
683	3565778.114
684	3558593.14
685	3555194.993
686	3552899.995
687	3549663.536
688	3547311.309
689	3545754.469
690	3543683.466
691	3540382.095
692	3539204.431
693	3537053.02
694	3534649.3
695	3532683.813
696	3530495.718
697	3527660.457
698	3524208.008
699	3520819.315
700	3518330.296
701	3515758.215
702	3512827.37
703	3509617.96
704	3506932.325
705	3504409.145
706	3502387.423
707	3500067.114
708	3493937.809
709	3492395.32
710	3486988.763
711	3485199.133
712	3482442.44
713	3481414.84
714	3478526.375
715	3473077.134
716	3470675.896
717	3466523.955
718	3464342.85
719	3462806.009
720	3459891.116
721	3459316.396
722	3457073.841
723	3454107.503
724	3451093.202
725	3449123.655
726	3447680.999
727	3443740.654
728	3442543.348
729	3441223.01
730	3439906.684
731	3435766.726
732	3434043.456
733	3432697.509
734	3430106.628
735	3426731.808
736	3424786.114
737	3421778.619
738	3419655.587
739	3417037.818
740	3414378.063
741	3412055.252
742	3409763.655
743	3407986.935
744	3406807.694
745	3405124.356
746	3402570.935
747	3398828.383
748	3395148.48
749	3393179.805
750	3391130.257
751	3389331.759
752	3385605.106
753	3384188.202
754	3382859.294
755	3380171.206
756	3378902.771
757	3377512.665
758	3376215.169
759	3373821.96
760	3372952.574
761	3370529.589
762	3368368.303
763	3363388.386
764	3360726.002
765	3355259.562
766	3353462.722
767	3351682.656
768	3349582.271
769	3347420.449
770	3346067.308
771	3344543.262
772	3341792.664
773	3338523.253
774	3333980.274
775	3331444.878
776	3330060.479
777	3324233.462
778	3319675.472
779	3318212.98
780	3317083.941
781	3313492.09
782	3310677.236
783	3307895.673
784	3305059.493
785	3303852.389
786	3300134.847
787	3298425.816
788	3296873.872
789	3294502.087
790	3291275.739
791	3289241.545
792	3288208.79
793	3286931.128
794	3286010.311
795	3283865.695
796	3281960.415
797	3278485.182
798	3275771.191
799	3273645.43
800	3271092
801	3270141.818
802	3269315.09
803	3265038.182
804	3263906.284
805	3261335.915
806	3260061.941
807	3254913.309
808	3252957.694
809	3251510.655
810	3249302.108
811	3245329.466
812	3242335.682
813	3239232.559
814	3237590.734
815	3234575.534
816	3233000.156
817	3230006.049
818	3229136.241
819	3226989.454
820	3225948.826
821	3223230.11
822	3221712.144
823	3221273.723
824	3219855.21
825	3217646.791
826	3215632.774
827	3213705.011
828	3211946.237
829	3210203.25
830	3206161.889
831	3204729.57
832	3203206.709
833	3201125.68
834	3199411.429
835	3197649.856
836	3195746.06
837	3191861.387
838	3190470.105
839	3189929.793
840	3183991.652
841	3182611.651
842	3181738.54
843	3178917.674
844	3177423.604
845	3173848.945
846	3172445.111
847	3172264.194
848	3170966.909
849	3167084.329
850	3165728.791
851	3164660.05
852	3160479.713
853	3158830.464
854	3157072.989
855	3155069.931
856	3152911.105
857	3150245.414
858	3147014.202
859	3145165.896
860	3143251.878
861	3140716.628
862	3139000.651
863	3137259.855
864	3135888.152
865	3133731.224
866	3131792.611
867	3128760.014
868	3126514.685
869	3126044.251
870	3124908.573
871	3122311.574
872	3120879.227
873	3119984.837
874	3117357.737
875	3116128.63
876	3114999.035
877	3113965.019
878	3112945.01
879	3111866.14
880	3108503.565
881	3107771.787
882	3106008.433
883	3103785.086
884	3102758.121
885	3102233.142
886	3098919.52
887	3097978.536
888	3096473.647
889	3095521.783
890	3094395.401
891	3093974.616
892	3092157.54
893	3089616.35
894	3087729.438
895	3086050.32
896	3085318.225
897	3083918.665
898	3082240.752
899	3081428.211
900	3080765.098
901	3079021.573
902	3075693.681
903	3074997.085
904	3073817.907
905	3071442.796
906	3069361.476
907	3066804.347
908	3064717.099
909	3062932.748
910	3061502.179
911	3057009.995
912	3052866.064
913	3052157.457
914	3049751.194
915	3048066.34
916	3046153.802
917	3044592.224
918	3043776.728
919	3037924.217
920	3035754.586
921	3034042.804
922	3031223.87
923	3030542.856
924	3028652.406
925	3026146.15
926	3025629.072
927	3023461.754
928	3022847.867
929	3020095.9
930	3018860.026
931	3018004.56
932	3017147.851
933	3016232.156
934	3014478.18
935	3013088.058
936	3011849.858
937	3010583.726
938	3009809.904
939	3008752.549
940	3008383.781
941	3006679.063
942	3004701.367
